index,   x,          y
1,       85,         805
2,      451,         779
3,      549,         460.77
4,      578,         433.23
5,      619,         425.579
6,      666,         417.249
7,      696.687,     407.736
8,      722,         406
9,      733,         366
10,     743.145,     338
11,     744.037,     284
12,     757,         261
13,     782.092,     230
14,    1050.37,       66.974
15,     801.872,     202.891
16,     805.128,     174
17,     807.639,     143.26
18,     737,          91.4141
19,     706.312,      79
20,     678.715,      60.5465
21,     774,         395
22,     832,         377
23,     832.537,     347
24,     842.191,     281
25,     844.429,     247
26,     847,         214
27,     852,         190
28,     957,         284
29,     962,         330
30,     959.426,     397
31,     960.5,       448.994
32,     906,         446
33,    1016,         444.433
34,    1062,         444.953
35,    1112,         363.327
36,    1148,         372.855
37,    1113,         448.436
38,    1008,         222
39,    1032,         225.412
40,    1054,         225.897
41,    1087,         229.337
42,    1140,         253
43,    1170,         287.783
44,    1224,         270
45,    1218.49,      165.074
46,    1236.51,      104
47,    1238.64,       80
48,    1111,           4
49,    1057,        -146
50,    1153.31,     -323.976
51,    1160,        -582
52,    1177,        -656
53,    1167,        -790.79
54,    1103.76,     -818.974
55,    1060.24,     -775.448
56,    1015.9,      -726
57,     947.825,    -646
58,     900.935,    -585
59,     749,        -418
60,     726.255,    -373
61,     690.745,    -332
62,     693.682,    -297
63,     697,        -275
64,     690.116,    -253
65,     693.18,     -189
66,     689.688,    -161
67,     687,        -120
68,     686.188,     -86
69,     683.787,     -53
70,     685,         -24
71,     678.828,      29
72,     574,         -19
73,     545,         -32.3171
74,     506,         -37.3699
75,     286,        -134.599
76,     385,        -280
77,     436.447,    -277.934
78,     564.756,    -221
79,     233.294,    -141
80,    -154,        -297
81,    -534.217,    -450
82,    -539.107,    -433.944
83,     689,         270
84,     611.102,     247.311
85,     536.091,     220.384
86,     165,         124
87,     130.956,     113
88,      42,         304.933
89,     141.498,      93
90,     216.706,     -28
91,     647,         126
92,     733,         151.891
93,     660.122,      97
94,     632,         191
95,     626.684,     219
96,     696.209,     245
97,     701.039,     222
98,     727,         180
99,     682.313,     301
100,    682.687,     330
101,    634,         315
102,    600.247,     302
103,    585.728,     321
104,    575,         375
105,   -180.899,     741
106,   -181.36,      908.92
107,    465.825,     910
108,    787.175,    1012
109,    380.447,     649
110,    912.574,     394
111,   1019,         404.567
112,    960.5,       535
113,    922.868,     281.87
114,    931,         248.13
115,    716,         471.374
116,    665.065,     493.862
117,    665.065,     531.951
118,    643.935,     485.249
119,    619.016,     473.106
120,    481.553,     671
121,    534.655,     499
122,    507.345,     486
123,    775,         433.799
124,    783.769,     396.417
125,    832.273,     514.593
126,    715.984,     600.298
127,   1197,         315.686
128,   1290.32,      366
129,   1289.08,      271.149
130,   1186.64,      198
131,   1144,         191
132,   1149.96,      192.922
133,   1078,         184
134,   1073.72,      138.506
135,   1102.28,      157.986
136,   1063.74,      228.498
137,   1008,         162
138,   1025,         280.947
139,    890,         196.513
140,    957,         214
141,    896.13,      100
142,    929.944,     116
143,    959,          48
144,    926.68,       38.4741
145,    912.887,      58
146,    865.071,      82
147,    863.113,      33.4741
148,    889.32,       13.0615
149,    907,         -19.0615
150,    965,          20
151,   1003.27,       24
152,    987.076,      21.8233
153,   1007.19,       67
154,   1057.38,      -62.8431
155,   1205.92,        6.40954
156,    812.307,    -318
157,    778,        -399.791
158,    829.639,    -372.209
159,    766.606,    -376.209
160,    839.394,    -336
161,    624,        -341.9
162,    609.247,    -309.1
163,    659.753,    -271
164,    625.799,    -333.009
165,    570,        -329
166,    485,        -456.233
167,    514,        -511.866
